Cluster	Canon-4	Canon-6	Canon-7	Canon-8_4008	Canon-10	Canon-12	Canon-14_3060	Canon-15	Canon-17	Canon-19	Canon-21_3053	Canon-23	Canon-25	Canon-27_3073	Canon-29_4003	Canon-31_3040	Canon-33_2027	Canon-34_2033	Canon-35	Canon-36_2024	Canon-38_1004.combined	Canon-40_3036.combined	Canon-42_2026.combined	Canon-43	Canon-44	Canon-45	Canon-46_4035	Canon-48	Canon-49	Canon-50	Canon-52	Canon-54	Canon-56	Canon-57	Canon-58
SAR406_Cluster_837	19	6	1	2	6	6	9	1	19	0	8	2	0	11	3	2	6	5	8	3	1	7	9	2	3	3	1	3	2	5	9	13	16	4	8
SAR406_Cluster_295	12	6	0	11	14	2	4	1	27	1	20	0	1	2	7	1	2	0	4	7	6	2	7	2	3	4	0	3	3	22	9	7	5	1	6
SAR406_Cluster_576	15	4	0	4	10	3	12	1	33	0	15	0	0	12	3	3	3	9	5	6	3	6	6	1	0	2	1	6	2	4	7	4	15	1	5
SAR406_Cluster_315	11	5	0	9	6	9	6	0	21	0	9	0	1	16	2	2	2	5	3	9	3	5	11	2	1	3	0	5	1	6	8	14	13	2	7
SAR406_Cluster_124	7	6	0	0	5	9	9	1	31	1	14	0	0	13	6	3	4	6	3	6	2	8	8	0	0	2	0	3	4	10	2	14	7	8	4
SAR406_Cluster_351	12	6	1	2	7	7	10	0	24	2	23	0	0	13	9	7	5	13	4	3	1	1	3	0	0	2	0	0	0	8	3	9	9	5	7
SAR406_Cluster_301	5	6	1	5	14	2	1	0	16	3	25	0	0	4	4	3	3	5	2	5	7	5	8	3	4	7	0	5	3	6	8	11	11	9	4
SAR406_Cluster_754	13	5	1	1	5	7	11	0	26	1	11	0	1	15	3	5	3	5	9	6	2	6	13	0	0	2	0	2	1	2	2	7	17	7	2
SAR406_Cluster_770	10	6	1	1	7	11	12	0	26	0	11	1	2	12	4	2	5	2	2	4	6	9	8	1	3	4	2	4	4	3	3	7	11	4	2
SAR406_Cluster_322	10	4	0	1	6	9	6	0	15	1	20	1	1	6	3	1	5	7	5	4	2	6	12	0	0	3	1	6	4	5	6	10	17	7	4
SAR406_Cluster_987	11	6	0	2	6	6	5	0	23	2	23	0	3	12	4	2	1	2	2	8	2	7	3	1	1	6	3	8	4	6	5	13	5	3	1
SAR406_Cluster_288	9	7	0	7	15	0	4	0	13	0	37	0	1	8	8	2	5	4	3	3	5	7	10	0	2	3	0	1	4	5	5	8	4	2	3
SAR406_Cluster_353	14	3	0	3	7	5	5	0	20	0	31	0	0	2	2	2	3	4	3	4	7	5	14	2	1	2	1	3	0	10	6	9	8	4	4
SAR406_Cluster_660	14	1	1	1	6	4	6	1	18	1	20	0	0	13	6	0	1	3	4	4	7	5	10	0	5	2	0	7	6	4	5	13	9	3	3
SAR406_Cluster_50	13	6	0	1	4	3	3	0	17	2	16	0	0	17	2	4	1	5	6	6	5	9	7	0	2	0	1	0	5	4	8	11	12	5	7
SAR406_Cluster_920	14	4	1	1	2	11	9	0	23	3	7	1	0	21	2	1	3	12	4	2	1	5	5	0	1	0	1	9	2	4	4	11	8	5	2
SAR406_Cluster_615	15	4	3	5	4	4	7	1	19	0	21	0	0	8	4	2	1	3	2	6	5	10	6	2	1	3	0	2	2	9	8	8	8	2	3
SAR406_Cluster_762	6	3	1	2	6	4	8	0	27	0	15	0	1	6	6	2	4	1	11	4	3	1	7	0	0	1	1	2	2	9	9	13	13	1	9
SAR406_Cluster_222	7	3	0	3	3	6	5	1	27	0	10	0	0	16	2	3	2	7	8	6	0	5	9	0	1	2	1	1	2	3	6	10	14	7	7
SAR406_Cluster_160	11	4	0	1	8	3	8	1	21	0	10	0	0	7	4	1	2	6	4	6	0	4	12	0	2	1	0	1	2	17	7	9	13	5	5
SAR406_Cluster_316	14	2	1	2	6	7	11	0	19	0	18	0	0	9	2	3	2	3	5	5	4	1	14	1	2	2	0	6	2	8	4	3	8	5	5
SAR406_Cluster_408	7	8	3	1	6	4	2	0	9	0	12	2	0	1	0	2	3	5	6	6	11	10	11	3	4	7	0	3	4	7	9	13	8	4	2
